# (1) R [kpc]   (2) vc [km s−1 ]  (3) σvc [km s−1 ]   (4) σvc [km s−1 ]   (5)systematic_error[%]
5.27    226.83      1.91    1.90    2
5.74    230.80      1.43    1.35    2
6.23    230.80      1.70    1.10    2
6.73    231.20      1.44    1.32    2
7.22    229.88      1.37    1.11    2
7.82    229.61      0.92    0.88    2
8.19    228.86      0.80    0.67    2
8.78    226.50      1.07    0.95    2
9.27    226.20      0.72    0.62    2
9.76    225.94      0.42    0.52    2
10.26   225.68      0.44    0.40    2
10.75   224.73      0.38    0.41    2
11.25   224.02      0.33    0.54    2
11.75   223.86      0.40    0.39    2
12.25   222.23      0.51    0.37    2
12.74   220.77      0.54    0.46    2
13.23   220.92      0.57    0.40    2
13.74   217.47      0.64    0.51    2
14.24   217.31      0.77    0.66    2.7
14.74   217.60      0.65    0.68    3.3
15.22   217.07      1.06    0.80    4
15.74   217.38      0.84    1.07    4.3
16.24   216.14      1.20    1.48    4.5
16.74   212.52      1.39    1.43    4.8
17.25   216.41      1.44    1.85    5
17.75   213.70      2.22    1.65    5.3
18.24   207.89      1.76    1.88    5.7
18.74   209.60      2.31    2.77    6
19.22   206.45      2.54    2.36    6.3
19.71   201.91      2.99    2.26    6.7
20.27   199.84      3.15    2.89    7
20.78   198.14      3.33    3.37    9.5
21.24   195.30      5.99    6.50    12
21.80   213.67      15.38   12.18   12
22.14   176.97      28.58   18.57   12
22.73   193.11      27.64   19.05   12
23.66   176.63      18.67   16.74   12
24.82   198.42      6.50    6.12    12
